gate0B: 2.67719, 6.70695, 1.25, -25.62164127421918, 2.2, 2.2, 2.2
gate1B: 10.2397, 25.0567, 0.15000000000000002, -177.70400607541507, 2.2, 2.2, 2.2
gate2B: 35.1417, 26.4984, 0.6499999999999999, 177.83177566372925, 2.2, 2.2, 2.2
gate3B: 26.0125, 9.41809, 0.15000000000000002, -29.494091124169877, 2.2, 2.2, 2.2
gate4B: 45.0346, 22.2569, 0.55, 124.63379030142258, 2.2, 2.2, 2.2
gate5B: -1.15213, 13.1935, 0.15000000000000002, -85.94366926962347, 2.2, 2.2, 2.2
gate6B: 10.5951, 4.23611, 0.75, 0.6576982530306718, 2.2, 2.2, 2.2
gate7B: 42.4307, 5.78127, 0.15000000000000002, -151.18293565439956, 2.2, 2.2, 2.2
gate8B: 33.6687, 4.71178, 0.6499999999999999, 178.17784217198826, 2.2, 2.2, 2.2
gate9B: 25.6675, 20.6245, 0.75, -126.72107554908418, 2.2, 2.2, 2.2
gate10B: 18.2181, 20.0025, 1.25, -50.13260386257725, 2.2, 2.2, 2.2
gate11B: 47.4443, 13.6256, 0.6499999999999999, 90.51186177020155, 2.2, 2.2, 2.2
gate12B: 2.12946, 22.0464, 1.25, 47.09862045002101, 2.2, 2.2, 2.2
gate13B: 19.0796, 10.0924, 0.6499999999999999, 55.85226964402972, 2.2, 2.2, 2.2
